index,algorithm,time,cpu,matrix_size
400,Homemade,0.06544327735900879,,84
401,Numpy,0.048000335693359375,,84
402,Homemade,0.013700008392333984,,50
403,Numpy,0.00014519691467285156,,50
404,Homemade,0.04566645622253418,,73
405,Numpy,0.0011239051818847656,,73
406,Homemade,0.03833174705505371,,71
407,Numpy,0.011424064636230469,,71
408,Homemade,0.015634775161743164,,47
409,Numpy,0.013259649276733398,,47
410,Homemade,0.11721086502075195,,100
411,Numpy,0.0002505779266357422,,100
412,Homemade,0.10174250602722168,,91
413,Numpy,0.0002570152282714844,,91
414,Homemade,0.004434108734130859,,34
415,Numpy,8.7738037109375e-05,,34
416,Homemade,0.010704278945922852,,46
417,Numpy,0.00010895729064941406,,46
418,Homemade,0.02670431137084961,,58
419,Numpy,0.00923919677734375,,58
420,Homemade,0.014621734619140625,,51
421,Numpy,0.00014853477478027344,,51
422,Homemade,0.012115955352783203,,48
423,Numpy,0.00011277198791503906,,48
424,Homemade,0.00029778480529785156,,13
425,Numpy,3.933906555175781e-05,,13
426,Homemade,0.0011265277862548828,,21
427,Numpy,4.935264587402344e-05,,21
428,Homemade,0.0928802490234375,,94
429,Numpy,0.0002841949462890625,,94
430,Homemade,0.03427839279174805,,68
431,Numpy,0.0015840530395507812,,68
432,Homemade,0.0014591217041015625,,23
433,Numpy,0.014948368072509766,,23
434,Homemade,0.0937349796295166,,95
435,Numpy,0.007432460784912109,,95
436,Homemade,0.0003705024719238281,,14
437,Numpy,0.019199848175048828,,14
438,Homemade,0.05733227729797363,,75
439,Numpy,0.0002300739288330078,,75
440,Homemade,0.12508869171142578,,100
441,Numpy,0.05849003791809082,,100
442,Homemade,0.05676126480102539,,80
443,Numpy,0.0032706260681152344,,80
444,Homemade,0.022590160369873047,,60
445,Numpy,0.00018787384033203125,,60
446,Homemade,0.04196310043334961,,73
447,Numpy,0.00020742416381835938,,73
448,Homemade,0.12392568588256836,,91
449,Numpy,0.018416166305541992,,91
450,Homemade,0.022133827209472656,,59
451,Numpy,0.00016307830810546875,,59
452,Homemade,0.010019302368164062,,45
453,Numpy,0.00011491775512695312,,45
454,Homemade,0.0003008842468261719,,13
455,Numpy,5.793571472167969e-05,,13
456,Homemade,0.07723593711853027,,89
457,Numpy,0.00027251243591308594,,89
458,Homemade,0.002283811569213867,,27
459,Numpy,6.413459777832031e-05,,27
460,Homemade,0.0009849071502685547,,20
461,Numpy,0.042308807373046875,,20
462,Homemade,0.0011637210845947266,,21
463,Numpy,7.224082946777344e-05,,21
464,Homemade,6.628036499023438e-05,,7
465,Numpy,4.5299530029296875e-05,,7
466,Homemade,0.024722814559936523,,61
467,Numpy,0.00014781951904296875,,61
468,Homemade,0.07499289512634277,,83
469,Numpy,0.00028228759765625,,83
470,Homemade,0.004831075668334961,,35
471,Numpy,8.606910705566406e-05,,35
472,Homemade,0.06207633018493652,,81
473,Numpy,0.0017299652099609375,,81
474,Homemade,2.47955322265625e-05,,4
475,Numpy,3.528594970703125e-05,,4
476,Homemade,3.361701965332031e-05,,5
477,Numpy,3.0040740966796875e-05,,5
478,Homemade,0.0014567375183105469,,23
479,Numpy,5.793571472167969e-05,,23
480,Homemade,0.0025696754455566406,,28
481,Numpy,6.222724914550781e-05,,28
482,Homemade,0.003718137741088867,,32
483,Numpy,7.367134094238281e-05,,32
484,Homemade,0.01409292221069336,,53
485,Numpy,0.00012421607971191406,,53
486,Homemade,0.0002951622009277344,,13
487,Numpy,3.981590270996094e-05,,13
488,Homemade,0.03964066505432129,,71
489,Numpy,0.037726640701293945,,71
490,Homemade,0.005231380462646484,,36
491,Numpy,0.000118255615234375,,36
492,Homemade,0.04129981994628906,,74
493,Numpy,0.00020122528076171875,,74
494,Homemade,0.03232741355895996,,61
495,Numpy,0.015952110290527344,,61
496,Homemade,0.002046346664428711,,26
497,Numpy,8.416175842285156e-05,,26
498,Homemade,0.00012421607971191406,,9
499,Numpy,2.9802322387695312e-05,,9
500,Homemade,0.0033986568450927734,,31
501,Numpy,6.413459777832031e-05,,31
502,Homemade,8.749961853027344e-05,,8
503,Numpy,3.147125244140625e-05,,8
504,Homemade,0.0116119384765625,,47
505,Numpy,0.00011682510375976562,,47
506,Homemade,0.05507993698120117,,75
507,Numpy,0.00023937225341796875,,75
508,Homemade,0.018138885498046875,,55
509,Numpy,0.0001392364501953125,,55
510,Homemade,0.003391742706298828,,31
511,Numpy,6.222724914550781e-05,,31
512,Homemade,0.0033941268920898438,,31
513,Numpy,6.771087646484375e-05,,31
514,Homemade,0.008804082870483398,,43
515,Numpy,9.703636169433594e-05,,43
516,Homemade,0.0023834705352783203,,27
517,Numpy,0.04189896583557129,,27
518,Homemade,3.647804260253906e-05,,5
519,Numpy,4.363059997558594e-05,,5
520,Homemade,0.0001518726348876953,,10
521,Numpy,4.7206878662109375e-05,,10
522,Homemade,0.014014720916748047,,51
523,Numpy,0.00012183189392089844,,51
524,Homemade,0.005247354507446289,,36
525,Numpy,8.0108642578125e-05,,36
526,Homemade,1.3589859008789062e-05,,3
527,Numpy,2.2172927856445312e-05,,3
528,Homemade,0.03980398178100586,,71
529,Numpy,0.036312103271484375,,71
530,Homemade,0.0057637691497802734,,37
